姓名,学号,性别,身份证号码,出生日期,高考分数
杜鑫,1514121304,女,3.31E+17,1997/8/26,253
段丹慧,1514140104,男,3.40E+17,1996/5/27,281
樊德武,1514121402,女,3.50E+17,1996/2/25,223
付甜甜,1514140105,男,3.62E+17,1997/10/23,416
傅伟强,1514121504,女,3.72E+17,1997/1/21,351
高亮刚,1514121403,男,4.12E+17,1996/6/8,423
高胜荣,1514140404,男,4.21E+17,1996/5/6,248
高斜,1514140405,女,4.30E+17,1996/7/26,247
葛家辉,1514121704,女,4.41E+17,1997/6/28,381
龚芳仁,1514140106,男,4.51E+17,1996/6/27,370
管廷尧,1514121404,女,4.61E+17,1997/9/17,371
郭俊,1514121602,男,5.01E+17,1997/3/1,224
郭淑庆,1514121405,男,5.12E+17,1997/7/9,379
郭雨鑫,1515141408,男,4.11E+17,1997/8/14,371
郭紫薇,1514140206,女,4.22E+17,1997/2/3,438
杭鑫业,1515141409,男,4.32E+17,1997/7/10,316
何浩序,1514121505,女,4.42E+17,1996/9/11,386
何娟,1514120804,男,4.50E+17,1996/10/12,311
何梦楠,1514140406,男,4.61E+17,1997/6/11,328
何世辉,1514121603,女,5.01E+17,1996/5/20,226
何肇,1514121604,男,5.11E+17,1996/11/9,392
贺顺帆,1514840225,男,5.21E+17,1997/1/12,349
洪亚超,1514120805,女,5.31E+17,1997/6/8,426
洪志伟,1514121406,女,5.42E+17,1997/10/23,293
胡冰涛,1514121605,男,6.12E+17,1995/12/18,252
胡霏,1514140407,女,6.22E+17,1997/1/28,432
胡荣,1514121606,女,6.30E+17,1997/7/31,335
胡涛,1515141410,女,6.40E+17,1996/8/21,260
胡鑫,1514121407,男,6.51E+17,1996/2/1,420
胡一正,1514121408,女,7.12E+17,1997/4/20,387
胡芝,1514121409,女,8.11E+17,1997/8/26,341
胡智辉,1514121305,男,1.21E+17,1997/5/6,295
黄超,1514121410,女,1.30E+17,1997/6/27,409
黄洁,1515141411,男,1.40E+17,1995/12/10,393
黄晶,1514140107,男,1.52E+17,1997/1/2,313
黄亮亮,1514140207,男,2.12E+17,1997/6/5,389
黄梦云,1515141412,男,2.22E+17,1997/8/5,263
黄念镭,1514121607,女,2.31E+17,1995/12/14,340
黄鹏辉,1514140408,男,3.10E+17,1997/8/13,356
黄胜,1514121705,女,3.21E+17,1997/2/20,392
黄霞,1514140208,女,3.33E+17,1995/11/26,424
黄晏飞,1514140409,女,3.41E+17,1997/3/9,337
黄扬春,1514121306,女,3.51E+17,1996/2/5,225
黄宇驰,1514121706,女,3.62E+17,1997/1/27,401
黄招源,1514121411,女,3.71E+17,1996/4/15,240
黄志勇,1514121412,女,4.12E+17,1997/5/8,256
简鑫,1515141413,男,4.22E+17,1996/7/8,259
江宇,1514840124,女,4.32E+17,1996/11/24,353
姜慧玲,1514120806,男,4.40E+17,1997/3/2,287
蒋英杰,1515141414,女,4.51E+17,1997/8/30,347
柯有亮,1515141415,男,4.61E+17,1996/5/6,384
赖泽文,1514121307,男,5.01E+17,1997/7/24,265
雷鸣,1514821525,男,5.11E+17,1996/3/3,305
黎劲,1514121608,男,5.21E+17,1996/10/30,313
黎凯华,1514121506,女,5.32E+17,1996/10/22,233
李程,1514122211,男,5.42E+17,1997/6/2,233
李广,1514140209,男,6.12E+17,1995/12/30,322
李宏聪,1514121707,男,6.20E+17,1996/9/12,378
李金华,1514122407,女,6.30E+17,1997/10/11,275
李金昱,1514140108,女,6.41E+17,1996/8/29,366
李兰婷,1515141416,女,6.52E+17,1996/12/13,419
李礼容,1514140410,男,7.11E+17,1996/11/22,348
李潘龙,1514121413,女,8.11E+17,1996/3/28,289
李珊珊,1514140109,女,3.60E+17,1996/3/9,422
李伟,1514121507,女,3.70E+17,1997/7/16,423
肖美玲,1514140117,男,6.52E+17,1997/3/28,404
肖平生,1514121516,男,7.12E+17,1996/2/24,336
肖文祥,1514121316,女,8.10E+17,1995/11/25,237
肖樟林,1514121317,女,8.20E+17,1997/2/10,321
谢秉东,1514140118,男,2.31E+17,1997/8/2,288
谢金灿,1514121517,女,3.12E+17,1997/5/2,423
谢宜兴,1514121713,男,3.21E+17,1996/4/3,362
熊玉玲,1514140217,女,3.31E+17,1997/1/14,389
胥晶根,1514121714,男,3.40E+17,1997/7/6,345
胥明风,1514140218,女,3.50E+17,1995/12/31,407
徐超财,1514121617,男,3.62E+17,1996/7/10,335
徐鹏,1514121715,女,3.72E+17,1996/6/25,231
徐松明,1514121421,男,4.12E+17,1996/8/26,307
徐天赐,1515840720,男,4.21E+17,1996/9/5,261
徐余,1514121318,女,4.30E+17,1996/9/20,310
许琪,1514121618,女,4.41E+17,1997/6/22,304
许振宇,1514121619,男,4.51E+17,1996/11/28,373
宣文杰,1514121620,女,4.61E+17,1997/2/25,222
严洪,1514120822,男,5.01E+17,1996/9/6,224
严梦云,1514140417,男,5.12E+17,1996/11/16,427
严燕青,1514120823,男,5.21E+17,1996/3/8,437
杨翀,1515840721,女,5.32E+17,1996/4/20,347
杨帆,1514120824,男,5.42E+17,1997/5/28,392
杨欢,1514140119,女,6.12E+17,1997/5/1,378
杨久祥,1515141901,男,6.20E+17,1996/2/20,317
杨明,1515141902,男,6.31E+17,1997/6/15,360
杨盛发,1514140120,女,6.41E+17,1997/3/10,376
杨宜杰,1514121716,男,6.51E+17,1996/1/29,239
叶信倩,1514120825,男,7.11E+17,1995/12/19,435
叶志军,1514121717,女,8.11E+17,1995/11/4,247
易东辉,1514121518,女,8.22E+17,1997/2/5,289
尹光辉,1514121319,男,2.32E+17,1997/7/6,246
于阳,1514120826,女,3.12E+17,1997/2/16,419
余成亮,1514140418,女,3.20E+17,1997/10/19,303
余冬霞,1514120827,女,3.30E+17,1997/1/6,281
余静,1514140121,男,3.41E+17,1996/5/26,249
余军,1514140220,女,3.52E+17,1997/8/15,377
余琳栋,1514121422,女,3.61E+17,1996/8/8,328
余云鑫,1514121718,男,3.71E+17,1997/9/15,320
喻学高,1514121519,女,4.10E+17,1997/2/2,274
袁翔豪,1514140419,男,4.20E+17,1996/1/4,279
袁玉良,1514121423,男,4.32E+17,1997/6/27,401
袁志鹏,1514140122,男,4.42E+17,1997/7/31,376
曾浩南,1515141903,男,4.52E+17,1996/12/10,393
曾辉,1514121621,女,4.61E+17,1997/3/15,280
曾令桂,1514121520,男,5.00E+17,1997/8/6,429
曾鑫,1514121622,女,5.11E+17,1997/1/23,264
曾鑫,1514121719,女,5.23E+17,1996/12/17,349
曾昭禄,1515141904,女,5.31E+17,1997/10/23,385
曾志鑫,1515141905,女,5.41E+17,1997/2/13,370
张波,1514121320,女,6.12E+17,1997/10/18,318
张驰,1515141906,女,6.21E+17,1995/11/12,413
张国栋,1514120828,女,6.32E+17,1997/5/20,305
张昊,1515841907,男,6.42E+17,1996/7/19,343
张俊,1514121720,女,6.52E+17,1997/2/9,408
张祺,1515122708,男,7.10E+17,1996/11/11,248
张绍华,1514140420,女,8.11E+17,1996/7/22,387
张万棠,1514121521,男,8.21E+17,1997/5/21,359
张祥辉,1514121424,男,3.71E+17,1997/7/20,373
张雅俊,1514121721,男,4.11E+17,1996/6/17,221
张远帆,1514121722,男,4.21E+17,1997/2/20,383
张志勇,1515122709,女,4.32E+17,1997/5/13,355
章臣华,1515122710,男,4.42E+17,1997/4/19,250
章敏,1514140421,男,4.52E+17,1996/7/19,229
赵家明,1514121723,男,4.60E+17,1996/8/18,290
赵明,1515122711,女,5.00E+17,1996/6/29,379
赵炜捷,1515122712,女,5.11E+17,1997/2/2,374
赵新,1514121522,女,5.22E+17,1997/10/9,316
赵真,1514120829,男,5.31E+17,1996/11/29,229
郑晨晨,1514140221,女,3.71E+17,1996/9/9,295
郑怡婷,1514140422,女,4.10E+17,1997/4/22,228
钟诚,1514140123,女,4.20E+17,1996/5/10,308
钟芳莹,1515122713,男,4.32E+17,1997/1/31,251
钟杰,1514821526,女,4.42E+17,1996/12/4,315
钟久栋,1514121425,男,4.52E+17,1997/7/10,389
钟俊韬,1514120830,男,4.61E+17,1997/9/1,346
钟丽,1514140222,男,5.00E+17,1996/5/6,422
钟绍福,1515122714,女,5.11E+17,1995/12/11,312
钟祯榕,1515122715,女,5.22E+17,1997/5/5,363
周乘风,1515122716,女,5.31E+17,1996/5/6,289
周将,1514121724,女,1.21E+17,1995/12/10,380
周磊斌,1515122717,男,1.32E+17,1996/7/8,300
周梁,1514121321,女,1.41E+17,1996/3/5,283
周木阳,1514140223,男,1.52E+17,1997/4/9,348
周晔,1514120831,女,2.12E+17,1997/1/23,367
朱城城,1514140423,女,2.22E+17,1996/9/3,258
朱纪辉,1514121322,男,2.30E+17,1996/8/1,250
朱佳鹏,1514121623,女,3.11E+17,1996/7/17,310
朱磊,1514121323,男,3.21E+17,1997/9/2,310
朱林,1514121426,女,3.31E+17,1996/6/20,438
朱淼,1514140224,女,3.41E+17,1996/5/31,413
朱星强,1514121624,女,3.51E+17,1996/5/18,231
朱艳强,1514121427,男,3.62E+17,1997/7/21,258
邹长江,1514121523,男,3.72E+17,1996/4/4,363
邹伙根,1514121625,女,4.12E+17,1996/3/8,234
左淑美,1514140424,女,4.20E+17,1996/4/10,376
