姓名,学号,性别,身份证号码,出生日期,高考分数
李永康,1515141419,女,4.61E+17,1995/11/18,263
李勇强,1514121708,女,5.02E+17,1996/5/28,356
李玉宝,1515141420,女,5.11E+17,1996/2/21,425
李煜东,1515141421,女,5.21E+17,1997/1/18,303
李元军,1514121508,男,5.32E+17,1996/10/10,382
李珍,1514120809,女,5.41E+17,1996/10/10,329
梁文婧,1514121610,男,2.32E+17,1997/7/25,341
廖焕红,1515141422,女,3.12E+17,1997/4/21,392
廖嘉应,1514121414,女,3.22E+17,1997/9/7,323
廖亚萍,1514140411,男,3.30E+17,1996/1/30,281
廖云涛,1515141423,女,2.31E+17,1996/5/2,278
林立强,1515141424,男,3.11E+17,1996/8/24,276
林上洪,1514121415,女,3.21E+17,1997/10/25,271
凌子雯,1514120810,女,3.31E+17,1996/4/12,270
刘单海,1514121308,女,2.31E+17,1997/6/9,390
刘丰,1514140110,男,3.12E+17,1997/1/12,302
刘观强,1514121611,男,3.22E+17,1996/6/11,248
刘晗,1515841425,女,3.32E+17,1997/9/22,419
刘经金,1514121416,女,3.20E+17,1997/3/7,427
刘俊杰,1514121509,男,3.30E+17,1996/1/29,340
刘祁卓,1514121309,男,4.31E+17,1997/3/26,386
刘强,1514121310,男,4.42E+17,1996/9/30,391
刘青,1514140210,男,4.51E+17,1995/11/13,240
刘少辉,1514121709,男,4.61E+17,1996/6/14,371
刘苏,1515841426,女,5.00E+17,1997/9/25,411
刘子琪,1514120811,女,5.10E+17,1996/12/11,322
柳维,1514140412,女,5.22E+17,1997/9/27,403
龙阿金,1514120812,女,5.32E+17,1997/7/27,265
龙小彬,1514121417,男,5.42E+17,1996/8/17,401
娄嘉悦,1514140211,男,6.11E+17,1997/5/15,234
娄凯,1515122718,女,6.21E+17,1996/12/3,344
卢甫茂,1514121510,男,6.31E+17,1997/3/15,394
卢敏,1514140413,男,6.41E+17,1997/9/16,245
卢敏,1514140414,男,4.31E+17,1996/11/12,405
吕冬平,1514121311,女,4.41E+17,1996/4/14,348
罗球,1514140212,女,4.52E+17,1995/12/26,349
罗文杰,1515841427,女,4.61E+17,1997/8/18,436
罗泽坤,1515140701,男,5.02E+17,1996/12/27,311
马柯,1515140702,女,5.12E+17,1996/8/24,294
梅闻鼎,1515140703,女,5.22E+17,1997/2/3,251
缪素华,1514140111,男,5.30E+17,1997/4/30,377
穆威,1515140704,男,5.41E+17,1997/3/1,403
宁春顺,1515140705,男,6.11E+17,1997/9/20,303
欧阳慧,1514140112,女,6.21E+17,1997/10/25,406
欧阳坤旺,1515140706,男,6.31E+17,1997/8/7,381
潘国粱,1515140707,男,6.41E+17,1996/3/29,274
潘济冲,1514121312,男,1.22E+17,1997/2/16,338
潘奇星,1514120813,男,1.32E+17,1996/5/7,381
潘洲,1514140425,女,1.42E+17,1996/2/10,423
彭广辉,1514121418,男,1.50E+17,1995/12/16,262
彭求春,1514121612,女,2.10E+17,1996/11/8,353
彭学成,1514121613,女,2.21E+17,1997/1/31,431
彭阳,1514121614,女,2.32E+17,1997/9/24,266
齐少聪,1514121419,女,3.11E+17,1996/2/22,390
邱华胜,1514121511,女,3.21E+17,1996/7/15,426
邱辉,1514121512,男,3.30E+17,1997/7/25,342
邱鹏,1514120814,女,3.40E+17,1997/2/4,362
饶斌,1515140708,女,3.52E+17,1997/5/10,404
荣雪芳,1514120815,男,3.62E+17,1996/4/30,394
沈枭雄,1514121513,女,3.72E+17,1997/9/1,273
宋际峰,1514121514,男,4.11E+17,1997/6/7,272
孙晨浩,1515140709,男,4.21E+17,1996/11/26,242
孙健,1514121615,男,4.31E+17,1997/9/7,352
孙锐,1515140710,女,4.42E+17,1996/4/4,247
谭佳,1514140415,女,4.51E+17,1997/3/2,426
田俊,1514121515,女,4.61E+17,1996/11/26,266
童俊涛,1515140711,女,5.02E+17,1997/5/11,369
汪广州,1514121420,男,5.11E+17,1996/3/16,425
汪玲玲,1514120816,女,5.22E+17,1996/4/12,394
汪明政,1515140712,女,5.32E+17,1996/9/21,397
汪添,1514122415,女,5.42E+17,1997/9/7,310
汪媛,1514120817,女,3.60E+17,1996/7/6,290
汪志诚,1515140713,男,1.20E+17,1996/2/1,402
王晨,1514120818,男,1.30E+17,1997/9/4,324
王芳君,1514140113,女,1.41E+17,1996/1/29,287
王淦,1514840125,女,1.52E+17,1996/6/16,291
王思斌,1514140416,男,2.11E+17,1997/3/29,302
王威,1514121710,女,2.21E+17,1996/3/31,235
王希瑞,1515140714,女,2.30E+17,1996/8/13,227
王雄军,1515140715,男,3.10E+17,1997/4/7,310
王序辉,1514122416,男,3.22E+17,1997/9/2,310
王阳,1514121313,女,3.32E+17,1996/7/21,314
王一鸣,1514121314,男,3.42E+17,1996/11/2,274
王泽东云,1514140213,男,3.51E+17,1996/8/22,348
王哲,1514121711,女,3.60E+17,1997/5/22,332
王喆,1514121712,女,3.71E+17,1997/7/17,312
魏曦,1514121315,女,4.10E+17,1996/3/15,265
温永荣,1515140716,男,4.21E+17,1997/4/10,360
吴成宗,1514140214,男,4.31E+17,1995/11/29,399
吴楚楚,1514121616,女,4.42E+17,1996/8/12,301
吴传涛,1514120819,男,4.51E+17,1996/8/12,390
吴浩宇,1514140114,女,4.62E+17,1997/4/26,355
吴俊雄,1514120820,男,5.02E+17,1997/10/6,429
吴灵,1514140115,男,5.12E+17,1996/11/26,338
吴情,1514140215,女,5.20E+17,1996/6/10,289
吴天虎,1515140717,女,5.31E+17,1997/9/2,412
吴田田,1514140116,女,5.41E+17,1997/7/28,261
吴伟,1515140718,女,6.11E+17,1996/6/24,306
吴雅君,1514140216,男,6.21E+17,1997/6/26,403
吴昱欣,1515140719,男,6.31E+17,1995/10/29,390
肖凤阳,1514120821,女,6.42E+17,1997/1/6,430
肖美玲,1514140117,男,6.52E+17,1997/3/28,404
肖平生,1514121516,男,7.12E+17,1996/2/24,336
肖文祥,1514121316,女,8.10E+17,1995/11/25,237
肖樟林,1514121317,女,8.20E+17,1997/2/10,321
谢秉东,1514140118,男,2.31E+17,1997/8/2,288
谢金灿,1514121517,女,3.12E+17,1997/5/2,423
谢宜兴,1514121713,男,3.21E+17,1996/4/3,362
熊玉玲,1514140217,女,3.31E+17,1997/1/14,389
胥晶根,1514121714,男,3.40E+17,1997/7/6,345
胥明风,1514140218,女,3.50E+17,1995/12/31,407
徐超财,1514121617,男,3.62E+17,1996/7/10,335
徐鹏,1514121715,女,3.72E+17,1996/6/25,231
徐松明,1514121421,男,4.12E+17,1996/8/26,307
徐天赐,1515840720,男,4.21E+17,1996/9/5,261
徐余,1514121318,女,4.30E+17,1996/9/20,310
许琪,1514121618,女,4.41E+17,1997/6/22,304
许振宇,1514121619,男,4.51E+17,1996/11/28,373
宣文杰,1514121620,女,4.61E+17,1997/2/25,222
严洪,1514120822,男,5.01E+17,1996/9/6,224
严梦云,1514140417,男,5.12E+17,1996/11/16,427
严燕青,1514120823,男,5.21E+17,1996/3/8,437
杨翀,1515840721,女,5.32E+17,1996/4/20,347
杨帆,1514120824,男,5.42E+17,1997/5/28,392
杨欢,1514140119,女,6.12E+17,1997/5/1,378
杨久祥,1515141901,男,6.20E+17,1996/2/20,317
杨明,1515141902,男,6.31E+17,1997/6/15,360
杨盛发,1514140120,女,6.41E+17,1997/3/10,376
杨宜杰,1514121716,男,6.51E+17,1996/1/29,239
叶信倩,1514120825,男,7.11E+17,1995/12/19,435
叶志军,1514121717,女,8.11E+17,1995/11/4,247
易东辉,1514121518,女,8.22E+17,1997/2/5,289
尹光辉,1514121319,男,2.32E+17,1997/7/6,246
于阳,1514120826,女,3.12E+17,1997/2/16,419
余成亮,1514140418,女,3.20E+17,1997/10/19,303
余冬霞,1514120827,女,3.30E+17,1997/1/6,281
余静,1514140121,男,3.41E+17,1996/5/26,249
余军,1514140220,女,3.52E+17,1997/8/15,377
余琳栋,1514121422,女,3.61E+17,1996/8/8,328
余云鑫,1514121718,男,3.71E+17,1997/9/15,320
喻学高,1514121519,女,4.10E+17,1997/2/2,274
袁翔豪,1514140419,男,4.20E+17,1996/1/4,279
袁玉良,1514121423,男,4.32E+17,1997/6/27,401
袁志鹏,1514140122,男,4.42E+17,1997/7/31,376
曾浩南,1515141903,男,4.52E+17,1996/12/10,393
曾辉,1514121621,女,4.61E+17,1997/3/15,280
曾令桂,1514121520,男,5.00E+17,1997/8/6,429
曾鑫,1514121622,女,5.11E+17,1997/1/23,264
曾鑫,1514121719,女,5.23E+17,1996/12/17,349
曾昭禄,1515141904,女,5.31E+17,1997/10/23,385
曾志鑫,1515141905,女,5.41E+17,1997/2/13,370
张波,1514121320,女,6.12E+17,1997/10/18,318
张驰,1515141906,女,6.21E+17,1995/11/12,413
张国栋,1514120828,女,6.32E+17,1997/5/20,305
张昊,1515841907,男,6.42E+17,1996/7/19,343
张俊,1514121720,女,6.52E+17,1997/2/9,408
张祺,1515122708,男,7.10E+17,1996/11/11,248
张绍华,1514140420,女,8.11E+17,1996/7/22,387
张万棠,1514121521,男,8.21E+17,1997/5/21,359
张祥辉,1514121424,男,3.71E+17,1997/7/20,373
张雅俊,1514121721,男,4.11E+17,1996/6/17,221
张远帆,1514121722,男,4.21E+17,1997/2/20,383
张志勇,1515122709,女,4.32E+17,1997/5/13,355
章臣华,1515122710,男,4.42E+17,1997/4/19,250
章敏,1514140421,男,4.52E+17,1996/7/19,229
赵家明,1514121723,男,4.60E+17,1996/8/18,290
赵明,1515122711,女,5.00E+17,1996/6/29,379
赵炜捷,1515122712,女,5.11E+17,1997/2/2,374
赵新,1514121522,女,5.22E+17,1997/10/9,316
赵真,1514120829,男,5.31E+17,1996/11/29,229
郑晨晨,1514140221,女,3.71E+17,1996/9/9,295
郑怡婷,1514140422,女,4.10E+17,1997/4/22,228
钟诚,1514140123,女,4.20E+17,1996/5/10,308
钟芳莹,1515122713,男,4.32E+17,1997/1/31,251
钟杰,1514821526,女,4.42E+17,1996/12/4,315
钟久栋,1514121425,男,4.52E+17,1997/7/10,389
钟俊韬,1514120830,男,4.61E+17,1997/9/1,346
钟丽,1514140222,男,5.00E+17,1996/5/6,422
钟绍福,1515122714,女,5.11E+17,1995/12/11,312
钟祯榕,1515122715,女,5.22E+17,1997/5/5,363
周乘风,1515122716,女,5.31E+17,1996/5/6,289
周将,1514121724,女,1.21E+17,1995/12/10,380
周磊斌,1515122717,男,1.32E+17,1996/7/8,300
周梁,1514121321,女,1.41E+17,1996/3/5,283
周木阳,1514140223,男,1.52E+17,1997/4/9,348
周晔,1514120831,女,2.12E+17,1997/1/23,367
朱城城,1514140423,女,2.22E+17,1996/9/3,258
朱纪辉,1514121322,男,2.30E+17,1996/8/1,250
朱佳鹏,1514121623,女,3.11E+17,1996/7/17,310
朱磊,1514121323,男,3.21E+17,1997/9/2,310
朱林,1514121426,女,3.31E+17,1996/6/20,438
朱淼,1514140224,女,3.41E+17,1996/5/31,413
朱星强,1514121624,女,3.51E+17,1996/5/18,231
朱艳强,1514121427,男,3.62E+17,1997/7/21,258
邹长江,1514121523,男,3.72E+17,1996/4/4,363
邹伙根,1514121625,女,4.12E+17,1996/3/8,234
左淑美,1514140424,女,4.20E+17,1996/4/10,376
