姓名,学号,性别,身份证号码,出生日期,高考分数
吕冬平,1514121311,女,4.41315E+17,1996/4/14,348
罗球,1514140212,女,4.51614E+17,1995/12/26,349
罗文杰,1515841427,女,4.61016E+17,1997/8/18,436
罗泽坤,1515140701,男,5.02035E+17,1996/12/27,311
马柯,1515140702,女,5.12148E+17,1996/8/24,294
梅闻鼎,1515140703,女,5.22036E+17,1997/2/3,251
缪素华,1514140111,男,5.30125E+17,1997/4/30,377
穆威,1515140704,男,5.41123E+17,1997/3/1,403
宁春顺,1515140705,男,6.11158E+17,1997/9/20,303
欧阳慧,1514140112,女,6.21245E+17,1997/10/25,406
欧阳坤旺,1515140706,男,6.31201E+17,1997/8/7,381
潘国粱,1515140707,男,6.41203E+17,1996/3/29,274
潘济冲,1514121312,男,1.21503E+17,1997/2/16,338
潘奇星,1514120813,男,1.31506E+17,1996/5/7,381
潘洲,1514140425,女,1.41503E+17,1996/2/10,423
彭广辉,1514121418,男,1.50102E+17,1995/12/16,262
彭求春,1514121612,女,2.10104E+17,1996/11/8,353
彭学成,1514121613,女,2.21123E+17,1997/1/31,431
彭阳,1514121614,女,2.31512E+17,1997/9/24,266
齐少聪,1514121419,女,3.11112E+17,1996/2/22,390
邱华胜,1514121511,女,3.21202E+17,1996/7/15,426
邱辉,1514121512,男,3.30104E+17,1997/7/25,342
邱鹏,1514120814,女,3.40106E+17,1997/2/4,362
饶斌,1515140708,女,3.52114E+17,1997/5/10,404
荣雪芳,1514120815,男,3.61516E+17,1996/4/30,394
沈枭雄,1514121513,女,3.71848E+17,1997/9/1,273
宋际峰,1514121514,男,4.11263E+17,1997/6/7,272
孙晨浩,1515140709,男,4.21123E+17,1996/11/26,242
孙健,1514121615,男,4.31234E+17,1997/9/7,352
孙锐,1515140710,女,4.41702E+17,1996/4/4,247
谭佳,1514140415,女,4.51215E+17,1997/3/2,426
田俊,1514121515,女,4.61315E+17,1996/11/26,266
童俊涛,1515140711,女,5.01614E+17,1997/5/11,369
汪广州,1514121420,男,5.11016E+17,1996/3/16,425
汪玲玲,1514120816,女,5.22035E+17,1996/4/12,394
汪明政,1515140712,女,5.32148E+17,1996/9/21,397
汪添,1514122415,女,5.42036E+17,1997/9/7,310
汪媛,1514120817,女,3.60125E+17,1996/7/6,290
汪志诚,1515140713,男,1.20102E+17,1996/2/1,402
王晨,1514120818,男,1.30104E+17,1997/9/4,324
王芳君,1514140113,女,1.41123E+17,1996/1/29,287
王淦,1514840125,女,1.51512E+17,1996/6/16,291
王思斌,1514140416,男,2.11112E+17,1997/3/29,302
王威,1514121710,女,2.21202E+17,1996/3/31,235
王希瑞,1515140714,女,2.30104E+17,1996/8/13,227
王雄军,1515140715,男,3.10106E+17,1997/4/7,310
王序辉,1514122416,男,3.22114E+17,1997/9/2,310
王阳,1514121313,女,3.31516E+17,1996/7/21,314
王一鸣,1514121314,男,3.41848E+17,1996/11/2,274
王泽东云,1514140213,男,3.51263E+17,1996/8/22,348
王哲,1514121711,女,3.60211E+17,1997/5/22,332
王喆,1514121712,女,3.71234E+17,1997/7/17,312
魏曦,1514121315,女,4.10101E+17,1996/3/15,265
温永荣,1515140716,男,4.21215E+17,1997/4/10,360
吴成宗,1514140214,男,4.31315E+17,1995/11/29,399
吴楚楚,1514121616,女,4.41614E+17,1996/8/12,301
吴传涛,1514120819,男,4.51016E+17,1996/8/12,390
吴浩宇,1514140114,女,4.62035E+17,1997/4/26,355
吴俊雄,1514120820,男,5.02148E+17,1997/10/6,429
吴灵,1514140115,男,5.12036E+17,1996/11/26,338
吴情,1514140215,女,5.20125E+17,1996/6/10,289
吴天虎,1515140717,女,5.31123E+17,1997/9/2,412
吴田田,1514140116,女,5.41158E+17,1997/7/28,261
吴伟,1515140718,女,6.11245E+17,1996/6/24,306
吴雅君,1514140216,男,6.21201E+17,1997/6/26,403
吴昱欣,1515140719,男,6.31203E+17,1995/10/29,390
肖凤阳,1514120821,女,6.41503E+17,1997/1/6,430
肖美玲,1514140117,男,6.51506E+17,1997/3/28,404
肖平生,1514121516,男,7.11503E+17,1996/2/24,336
肖文祥,1514121316,女,8.10102E+17,1995/11/25,237
肖樟林,1514121317,女,8.20104E+17,1997/2/10,321
谢秉东,1514140118,男,2.31123E+17,1997/8/2,288
谢金灿,1514121517,女,3.11512E+17,1997/5/2,423
谢宜兴,1514121713,男,3.21112E+17,1996/4/3,362
熊玉玲,1514140217,女,3.31202E+17,1997/1/14,389
胥晶根,1514121714,男,3.40104E+17,1997/7/6,345
胥明风,1514140218,女,3.50106E+17,1995/12/31,407
徐超财,1514121617,男,3.62114E+17,1996/7/10,335
徐鹏,1514121715,女,3.71516E+17,1996/6/25,231
徐松明,1514121421,男,4.11848E+17,1996/8/26,307
徐天赐,1515840720,男,4.21263E+17,1996/9/5,261
徐余,1514121318,女,4.30111E+17,1996/9/20,310
许琪,1514121618,女,4.41234E+17,1997/6/22,304
许振宇,1514121619,男,4.51001E+17,1996/11/28,373
宣文杰,1514121620,女,4.61215E+17,1997/2/25,222
严洪,1514120822,男,5.01315E+17,1996/9/6,224
严梦云,1514140417,男,5.11614E+17,1996/11/16,427
严燕青,1514120823,男,5.21016E+17,1996/3/8,437
杨翀,1515840721,女,5.32035E+17,1996/4/20,347
杨帆,1514120824,男,5.42148E+17,1997/5/28,392
杨欢,1514140119,女,6.12036E+17,1997/5/1,378
杨久祥,1515141901,男,6.20125E+17,1996/2/20,317
杨明,1515141902,男,6.31123E+17,1997/6/15,360
杨盛发,1514140120,女,6.41158E+17,1997/3/10,376
杨宜杰,1514121716,男,6.51245E+17,1996/1/29,239
叶信倩,1514120825,男,7.11201E+17,1995/12/19,435
叶志军,1514121717,女,8.11203E+17,1995/11/4,247
易东辉,1514121518,女,8.21503E+17,1997/2/5,289
尹光辉,1514121319,男,2.31506E+17,1997/7/6,246
于阳,1514120826,女,3.11503E+17,1997/2/16,419
余成亮,1514140418,女,3.20102E+17,1997/10/19,303
余冬霞,1514120827,女,3.30104E+17,1997/1/6,281
余静,1514140121,男,3.41123E+17,1996/5/26,249
余军,1514140220,女,3.51512E+17,1997/8/15,377
余琳栋,1514121422,女,3.61112E+17,1996/8/8,328
余云鑫,1514121718,男,3.71202E+17,1997/9/15,320
喻学高,1514121519,女,4.10104E+17,1997/2/2,274
袁翔豪,1514140419,男,4.20106E+17,1996/1/4,279
袁玉良,1514121423,男,4.32114E+17,1997/6/27,401
袁志鹏,1514140122,男,4.41516E+17,1997/7/31,376
曾浩南,1515141903,男,4.51848E+17,1996/12/10,393
曾辉,1514121621,女,4.61263E+17,1997/3/15,280
曾令桂,1514121520,男,5.00102E+17,1997/8/6,429
曾鑫,1514121622,女,5.11234E+17,1997/1/23,264
曾鑫,1514121719,女,5.22514E+17,1996/12/17,349
曾昭禄,1515141904,女,5.31215E+17,1997/10/23,385
曾志鑫,1515141905,女,5.41315E+17,1997/2/13,370
张波,1514121320,女,6.11614E+17,1997/10/18,318
张驰,1515141906,女,6.21016E+17,1995/11/12,413
张国栋,1514120828,女,6.32035E+17,1997/5/20,305
张昊,1515841907,男,6.42148E+17,1996/7/19,343
张俊,1514121720,女,6.52036E+17,1997/2/9,408
张祺,1515122708,男,7.10125E+17,1996/11/11,248
张绍华,1514140420,女,8.11123E+17,1996/7/22,387
张万棠,1514121521,男,8.21158E+17,1997/5/21,359
张祥辉,1514121424,男,3.71245E+17,1997/7/20,373
张雅俊,1514121721,男,4.11201E+17,1996/6/17,221
张远帆,1514121722,男,4.21203E+17,1997/2/20,383
张志勇,1515122709,女,4.31503E+17,1997/5/13,355
章臣华,1515122710,男,4.41506E+17,1997/4/19,250
章敏,1514140421,男,4.51503E+17,1996/7/19,229
赵家明,1514121723,男,4.60102E+17,1996/8/18,290
赵明,1515122711,女,5.00104E+17,1996/6/29,379
赵炜捷,1515122712,女,5.11123E+17,1997/2/2,374
赵新,1514121522,女,5.21512E+17,1997/10/9,316
赵真,1514120829,男,5.31112E+17,1996/11/29,229
郑晨晨,1514140221,女,3.71202E+17,1996/9/9,295
郑怡婷,1514140422,女,4.10104E+17,1997/4/22,228
钟诚,1514140123,女,4.20106E+17,1996/5/10,308
钟芳莹,1515122713,男,4.32114E+17,1997/1/31,251
钟杰,1514821526,女,4.41516E+17,1996/12/4,315
钟久栋,1514121425,男,4.51848E+17,1997/7/10,389
钟俊韬,1514120830,男,4.61263E+17,1997/9/1,346
钟丽,1514140222,男,5.00106E+17,1996/5/6,422
钟绍福,1515122714,女,5.11234E+17,1995/12/11,312
钟祯榕,1515122715,女,5.21736E+17,1997/5/5,363
周乘风,1515122716,女,5.31215E+17,1996/5/6,289
周将,1514121724,女,1.21315E+17,1995/12/10,380
周磊斌,1515122717,男,1.31614E+17,1996/7/8,300
周梁,1514121321,女,1.41016E+17,1996/3/5,283
周木阳,1514140223,男,1.52035E+17,1997/4/9,348
周晔,1514120831,女,2.12148E+17,1997/1/23,367
朱城城,1514140423,女,2.22036E+17,1996/9/3,258
朱纪辉,1514121322,男,2.30125E+17,1996/8/1,250
朱佳鹏,1514121623,女,3.11123E+17,1996/7/17,310
朱磊,1514121323,男,3.21158E+17,1997/9/2,310
朱林,1514121426,女,3.31245E+17,1996/6/20,438
朱淼,1514140224,女,3.41201E+17,1996/5/31,413
朱星强,1514121624,女,3.51203E+17,1996/5/18,231
朱艳强,1514121427,男,3.61503E+17,1997/7/21,258
邹长江,1514121523,男,3.71506E+17,1996/4/4,363
邹伙根,1514121625,女,4.11503E+17,1996/3/8,234
左淑美,1514140424,女,4.20102E+17,1996/4/10,376
